Country,City,Population
UK,Manchester,547627
UK,Glasgow,621020
Germany,Frankfurt,753056
UK,Leeds,789194
Germany,Cologne,1085664
UK,Birmingham,1153717
Germany,Munich,1471508
USA,Phoenix,1608139
Japan,Sapporo,1883027
Germany,Hamburg,1899160
USA,Houston,2320268
Japan,Nagoya,2327557
Brazil,Fortaleza,2669342
Japan,Osaka,2691206
USA,Chicago,2693976
Brazil,Salvador,2886698
Brazil,Brasilia,3055149
Japan,Yokohama,3736666
Germany,Berlin,3769495
USA,Los Angeles,3979576
Brazil,Rio de Janeiro,6747815
India,Hyderabad,6809970
India,Chennai,7088000
USA,New York,8336817
India,Bangalore,8443675
UK,London,8982000
India,Delhi,11034555
Brazil,Sao Paulo,12325232
China,Shenzhen,12356820
India,Mumbai,12478447
Japan,Tokyo,13515271
China,Guangzhou,14904400
China,Chengdu,16044600
China,Beijing,21516000
China,Shanghai,24256800